img,43173.png,17754.png,45594.png,45448.png,22022.png,41063.png,34548.png,38291.png,45339.png,45953.png,47881.png,41011.png,43311.png,47809.png,32112.png,35853.png,9727.png,42547.png,1270.png,31871.png,34536.png,43884.png,24681.png,26991.png,39675.png,42697.png,30988.png,20312.png,10394.png,4010.png,49569.png,40769.png,15530.png,43237.png,46633.png,1783.png,20700.png,28516.png,5901.png,40287.png,19129.png,31685.png,13384.png,5134.png,19828.png,19821.png,23932.png,13406.png,37228.png,1529.png,42314.png,7527.png,19084.png,14753.png,13656.png,49964.png,12921.png,19090.png,18467.png,18578.png,40647.png,43807.png,2118.png,34932.png,35999.png,49093.png,49156.png,34716.png,35825.png,16250.png,42408.png,32009.png,31516.png,35744.png,39797.png,30758.png,39361.png,32192.png,44750.png,31671.png,34183.png,22829.png,31995.png,22837.png,18635.png,32420.png,20914.png,35172.png,34327.png,32213.png,25104.png,7964.png,45386.png,1739.png,44367.png,17567.png,39599.png,38464.png,47479.png,15074.png,47467.png,10166.png,46999.png,15649.png,21269.png,6773.png,13711.png,33474.png,21872.png,25578.png,5277.png,36872.png,14915.png,47667.png,9811.png,5361.png,41908.png,29456.png,27997.png,17919.png,44895.png,19613.png,34848.png,17822.png,10348.png,30787.png,7507.png,45800.png,1980.png,26688.png,49150.png,17510.png,35186.png,25483.png,33738.png,46425.png,37490.png,21700.png,43677.png,17943.png,46498.png,12721.png,15588.png,32426.png,32591.png,34018.png,29367.png,1670.png,8578.png,34378.png,45501.png,13611.png,16426.png,19687.png,35792.png,48943.png,45836.png,33921.png,6412.png,8676.png,48858.png,1492.png,13180.png,19100.png,28206.png,35848.png,973.png,10239.png,20207.png,34022.png,49980.png,21144.png,41218.png,19157.png,17090.png,28325.png,35263.png,23486.png,19298.png,40765.png,37352.png,5429.png,40271.png,31974.png,1807.png,12805.png,47345.png,22894.png,46325.png,38415.png,43813.png,8918.png,36137.png,40326.png,3590.png,25553.png,9449.png,5439.png,15520.png,39112.png,29435.png,26762.png,34090.png,14073.png,21108.png,44095.png,5269.png,49800.png,38137.png,7748.png,26541.png,11260.png,25654.png,36637.png,2392.png,11960.png,4554.png,14332.png,46010.png,45783.png,49626.png,19202.png,4632.png,49875.png,4723.png,7037.png,46336.png,2624.png,12273.png,21998.png,43008.png,28684.png,12006.png,32147.png,44246.png,22436.png,24236.png,30262.png,7289.png,35316.png,15114.png,4088.png,45311.png,40705.png,12913.png,17291.png,6852.png,1822.png,20234.png,33491.png,42473.png,30715.png,18132.png,17976.png,30302.png,49383.png,24797.png,47283.png,28964.png,21012.png,4529.png,33014.png,18407.png,48466.png,28609.png,16963.png,13907.png,17507.png,14103.png,35930.png,24591.png,17894.png,11075.png,33586.png,20675.png,8878.png,11116.png,38279.png,9971.png,49886.png,18966.png,10859.png,35439.png,35974.png,46888.png,21570.png,1571.png,4215.png,48718.png,26492.png,30079.png,27163.png,31394.png,24424.png,29729.png,4661.png,1431.png,15536.png,32580.png,33273.png,17027.png,18454.png,25597.png,11023.png,11392.png,27598.png,11963.png,2552.png,29970.png,33902.png,849.png,20324.png,47336.png,27979.png,4314.png,47338.png,48495.png,16390.png,31868.png,46599.png,36526.png,2278.png,4980.png,48623.png,16777.png,10079.png,15762.png,31589.png,26544.png,9151.png,47992.png,18192.png,19398.png,25551.png,47824.png,2057.png,25183.png,41926.png,4387.png,20481.png,5097.png,42170.png,49475.png,5283.png,1616.png,9560.png,48219.png,29164.png,35305.png,1665.png,29968.png,1823.png,12092.png,14696.png,19332.png,35585.png,39436.png,1378.png,21613.png,7321.png,9291.png,12113.png,10856.png,41089.png,7598.png,48655.png,44759.png,32136.png,41191.png,18803.png,26410.png,17534.png,40637.png,21084.png,41171.png,39218.png,6973.png,21651.png,48359.png,35554.png,5568.png,28904.png,14885.png,34422.png,25566.png,14091.png,47349.png,15350.png,45308.png,28975.png,31957.png,48788.png,31465.png,49190.png,18335.png,19937.png,40922.png,17427.png,28045.png,41757.png,44579.png,28590.png,11637.png,45647.png,689.png,1410.png,19646.png,1567.png,34108.png,41346.png,46882.png,46309.png,13045.png,31150.png,34456.png,38064.png,28195.png,24473.png,45470.png,45979.png,30915.png,35136.png,47967.png,46346.png,18938.png,644.png,18179.png,10543.png,29891.png,30828.png,28208.png,36475.png,9632.png,47231.png,2285.png,17799.png,14296.png,46257.png,26213.png,20531.png,1786.png,23679.png,34392.png,23407.png,22180.png,27974.png,18512.png,27676.png,14004.png,47690.png,43381.png,4497.png,16530.png,1966.png,35483.png,30852.png,23671.png,19793.png,46506.png,31796.png,7619.png,11016.png,16189.png,45267.png,19927.png,35151.png,13749.png,31373.png,19664.png,49663.png,32807.png,23566.png,47793.png,20287.png,29713.png,49620.png,33768.png,15998.png,36599.png,10905.png,26342.png,12535.png,9907.png,3820.png,21098.png,28878.png,30470.png,40710.png,48440.png,49979.png,47112.png,13105.png,18368.png,34532.png,4018.png,19681.png,29029.png,27341.png,4113.png,22627.png
0,52,56,96,59,96,96,56,52,59,59,52,56,56,59,52,96,47,52,59,47,59,59,52,52,56,56,47,52,56,52,47,59,47,59,56,56,47,47,47,96,56,59,52,52,52,52,52,56,59,56,52,52,56,52,59,52,56,52,59,52,47,52,52,52,96,52,59,47,52,59,52,52,96,52,52,56,59,52,56,56,56,56,56,52,56,59,59,96,56,52,56,56,52,52,59,56,56,52,56,47,96,52,47,56,52,47,56,47,52,47,52,52,47,47,56,56,52,56,56,56,47,47,47,56,96,52,56,47,52,59,47,59,56,47,56,52,56,52,52,52,52,47,96,47,52,56,59,47,52,56,56,47,96,59,56,47,56,52,96,52,59,52,52,52,52,52,59,56,59,47,59,59,52,52,47,52,52,56,52,52,56,56,56,59,52,52,96,52,52,56,56,52,56,52,56,59,52,52,52,47,96,52,52,96,96,52,47,96,52,52,47,59,52,59,96,47,56,52,56,47,56,47,96,59,96,59,52,52,52,52,52,47,59,56,47,59,47,56,56,59,59,52,56,52,52,52,47,56,52,96,56,56,47,52,47,96,47,47,47,52,52,47,47,56,52,56,96,59,52,52,52,47,59,56,52,47,47,59,52,47,52,59,52,52,52,56,96,56,52,56,56,56,52,47,52,52,52,56,56,47,56,47,47,56,52,47,56,96,52,96,59,52,56,52,56,52,47,52,52,59,52,47,52,47,59,47,52,52,56,47,47,56,96,47,47,52,59,52,56,59,52,59,56,52,59,47,59,59,56,47,59,47,52,47,52,56,56,52,56,52,47,52,56,52,52,52,52,59,47,59,56,47,47,52,47,52,59,52,52,47,47,52,47,96,52,59,96,52,52,47,52,56,56,56,47,52,59,59,52,52,52,59,59,52,56,56,47,52,47,52,59,56,56,59,52,59,52,52,59,47,59,52,59,56,59,56,59,52,47,59,59,52,56,47,47,56,52,52,59,96,52,52,52,52,47,52,47,56,59,59,52,52,47,52,47,47,47,52,52,52,56,59,59,59,47,47,56,47,47,59,47,47,52,47,52,96,52,96,47,47,47,52,52,56,52,56,52,56,56,59,52,59,56,96,59,56,47,59,59,56
1,52,56,96,59,52,96,52,52,59,59,96,56,56,59,52,56,47,52,59,56,59,59,59,96,56,56,47,52,56,52,52,59,47,47,56,56,96,96,47,96,56,59,52,47,52,52,52,56,59,56,59,47,56,52,59,52,56,52,59,96,47,59,47,52,96,52,59,96,52,47,52,52,96,52,47,56,59,96,56,56,56,56,56,52,56,52,96,96,52,52,56,47,52,52,47,56,56,52,56,52,96,59,96,56,52,47,56,47,47,47,52,52,47,47,56,56,47,56,56,56,47,47,52,56,96,52,56,47,52,59,47,59,47,47,56,52,96,96,47,59,52,47,96,47,52,56,59,47,52,56,56,96,96,47,56,47,56,52,96,96,47,47,47,47,96,52,59,56,96,96,47,59,52,47,59,47,52,56,52,47,56,56,56,59,52,52,96,59,56,56,56,52,56,52,56,59,47,52,52,96,47,52,52,96,96,52,47,96,96,96,47,59,47,47,96,96,56,56,56,47,56,47,96,59,96,59,96,56,96,96,52,47,59,56,47,59,59,56,56,47,56,52,56,59,52,96,47,56,96,96,56,56,47,47,96,96,47,47,52,59,52,47,47,56,47,56,96,59,52,52,96,59,59,56,52,47,47,59,52,47,47,52,47,59,96,56,59,56,52,56,56,56,52,47,52,59,52,56,47,47,56,47,47,56,52,96,56,96,52,96,59,52,56,96,56,47,47,47,96,59,47,47,96,47,59,96,52,52,56,47,47,56,96,47,52,96,47,47,56,59,52,59,56,47,59,47,47,59,56,47,59,47,52,96,96,56,56,96,56,52,47,59,56,52,52,96,47,59,47,96,56,47,47,47,47,52,59,96,59,52,52,52,47,96,52,96,96,47,52,47,47,56,56,59,47,52,59,52,96,52,96,47,59,52,56,56,47,56,47,47,96,56,56,59,96,59,96,52,59,47,59,59,59,56,59,56,59,52,47,59,59,52,56,96,47,56,52,52,59,96,52,59,52,52,47,47,59,56,47,59,56,47,47,52,96,47,47,59,96,52,96,47,59,59,47,47,56,47,47,47,47,47,52,47,47,52,47,96,96,47,47,47,52,52,52,59,47,56,56,59,59,59,56,52,59,56,52,59,59,56
2,52,56,96,59,52,52,47,96,59,52,96,56,56,59,47,47,59,52,59,96,59,59,96,59,52,56,47,52,56,52,52,59,47,59,56,56,47,59,47,96,56,52,52,47,52,52,47,56,59,56,59,59,56,52,59,52,56,47,47,52,47,47,47,52,96,52,59,47,52,47,47,52,96,52,52,56,59,47,47,56,56,56,56,47,56,52,96,52,59,52,56,56,52,52,59,56,56,52,56,47,96,52,52,56,52,47,96,47,47,47,59,52,47,47,56,56,59,56,56,56,47,47,47,56,56,47,56,52,52,47,47,59,56,52,56,52,52,96,52,47,52,52,96,47,52,56,59,59,59,56,56,47,52,52,56,47,56,52,52,47,59,52,52,52,52,52,52,56,59,96,96,59,52,52,59,52,47,56,52,52,56,56,56,59,52,52,96,47,52,56,56,52,56,52,56,59,47,52,47,47,96,52,52,96,96,52,47,56,52,52,47,59,59,59,96,47,56,52,56,52,56,47,96,52,52,59,52,52,52,52,47,47,59,56,47,59,52,56,56,47,56,52,56,47,52,52,47,56,47,96,56,56,47,52,47,96,47,47,59,59,52,47,47,56,52,56,47,59,52,52,52,56,59,56,52,47,47,47,52,47,52,47,52,59,52,56,52,56,52,56,56,56,52,47,59,47,52,56,56,47,56,56,47,56,52,47,56,96,47,96,59,52,56,52,56,47,47,52,52,59,59,47,47,47,59,59,52,52,56,47,47,56,47,47,52,52,47,52,56,59,47,59,56,47,59,47,59,59,56,47,59,47,52,47,52,56,56,52,56,59,47,59,56,52,52,96,47,59,47,47,56,47,47,47,47,52,59,52,59,47,47,52,47,96,47,59,96,52,52,47,47,56,56,47,47,47,59,47,52,52,52,47,59,52,56,56,47,56,59,52,47,56,56,59,47,59,56,52,59,47,47,52,47,56,59,56,59,52,47,59,59,52,56,47,56,56,47,52,59,96,47,56,52,47,47,52,47,56,52,47,59,52,47,59,47,47,47,52,52,52,56,47,56,59,47,47,56,47,47,59,47,47,52,47,59,47,47,96,47,47,47,52,52,47,52,56,59,56,56,47,47,59,56,47,59,56,47,59,59,56
3,52,56,96,59,52,52,96,52,47,47,47,56,56,59,52,52,47,52,59,47,59,47,96,52,56,56,47,52,56,52,52,59,47,59,47,56,52,52,47,96,56,59,47,52,59,59,52,56,59,56,47,59,56,52,59,52,56,52,59,52,47,96,52,52,96,52,59,52,52,47,52,52,52,52,52,56,59,47,47,47,56,56,56,52,56,52,96,96,96,47,56,96,96,52,52,56,59,52,96,47,96,47,47,56,47,47,96,47,52,59,52,52,47,47,56,56,52,56,56,56,47,47,96,56,96,59,56,52,52,47,47,59,59,52,56,52,96,96,52,59,52,47,96,52,52,56,59,59,52,56,56,52,96,59,56,47,56,47,52,52,59,47,52,52,96,52,52,56,52,96,47,59,52,52,59,47,47,56,52,52,56,56,56,59,96,52,96,52,52,56,56,47,56,52,56,59,52,52,52,52,96,52,52,96,96,52,47,96,96,47,47,59,59,59,96,47,56,52,56,47,56,47,96,59,59,59,52,52,52,52,52,47,59,56,59,59,59,56,56,52,59,52,56,47,47,52,52,56,52,96,56,56,47,47,47,96,47,47,52,52,47,47,47,56,52,56,47,59,52,52,47,59,59,56,52,47,47,47,52,47,47,52,47,47,96,56,59,56,52,56,56,56,52,47,59,47,52,56,47,59,56,52,47,56,52,52,59,96,52,96,59,52,59,47,47,52,47,47,96,59,47,47,96,59,59,59,52,52,56,47,52,56,52,47,47,96,47,47,56,59,52,59,56,47,59,52,59,59,59,47,59,52,52,52,52,56,56,96,56,52,47,59,56,52,52,96,47,47,52,96,56,47,47,47,52,52,59,96,59,47,52,52,47,96,47,59,96,59,52,52,59,47,56,52,47,47,59,52,47,52,96,47,59,47,56,56,52,52,59,47,59,56,56,59,47,59,96,52,59,59,59,59,59,56,59,56,59,52,47,59,59,52,56,52,47,56,52,52,59,59,47,47,52,52,47,47,47,56,59,47,59,47,47,47,52,47,47,47,47,52,56,52,59,59,47,47,56,52,96,59,47,52,52,52,59,52,52,96,52,47,47,47,52,47,47,59,59,56,56,59,59,59,56,52,59,56,52,59,59,56
4,52,56,96,59,96,96,52,96,59,52,96,56,56,59,59,96,59,52,59,96,59,59,52,96,56,56,47,52,56,52,47,59,47,52,59,56,47,47,47,96,56,59,52,59,52,52,47,56,59,56,59,59,56,52,59,52,56,52,59,96,47,47,52,52,96,52,59,96,52,59,52,52,96,52,52,56,59,52,52,56,56,56,56,47,56,52,96,96,52,52,56,56,52,47,52,59,56,52,56,47,96,52,96,56,52,47,56,47,47,47,52,59,47,47,56,56,52,56,56,56,47,47,52,56,96,52,56,47,52,59,47,59,56,52,56,52,96,52,52,59,52,47,96,52,52,56,59,52,52,56,56,52,96,52,56,47,56,52,96,52,47,52,52,52,96,52,59,56,52,96,96,59,52,52,59,52,52,56,52,52,56,56,56,59,52,52,96,52,52,56,56,52,56,52,56,59,52,52,52,52,96,52,52,96,96,52,47,96,52,52,47,59,52,59,96,47,56,59,56,52,56,47,96,47,52,59,52,52,52,52,47,47,59,56,47,59,52,56,56,52,52,52,56,52,52,52,47,56,52,96,56,56,47,52,52,56,47,47,59,52,52,52,47,56,52,56,52,59,52,52,96,52,59,56,52,47,47,47,52,47,52,52,52,52,52,56,52,56,52,56,56,56,52,47,52,52,52,56,47,52,56,47,47,56,52,52,56,52,52,96,59,52,56,52,56,52,47,52,52,59,52,47,52,59,59,52,52,52,56,47,52,56,52,47,52,52,47,59,56,59,52,59,56,47,59,52,47,52,56,47,59,52,52,47,52,56,56,96,56,52,47,52,56,52,52,96,52,52,47,52,56,47,47,52,47,47,59,52,59,59,52,52,47,96,52,59,96,52,52,52,47,56,56,52,47,52,59,59,52,52,52,52,59,52,56,56,47,56,52,52,59,56,56,52,52,59,59,52,59,52,52,52,47,56,52,56,59,52,47,59,59,52,56,52,59,56,52,52,59,96,52,52,52,52,47,52,52,56,52,59,52,52,47,52,52,47,47,52,52,52,56,52,59,52,52,52,56,47,47,59,47,52,52,47,59,52,52,96,52,47,47,52,52,52,52,56,52,56,56,52,52,59,56,52,59,56,52,59,52,56
5,52,56,96,59,52,96,52,52,59,59,96,56,56,59,52,96,47,52,59,47,47,59,47,47,56,56,47,52,56,52,52,59,47,59,47,56,47,47,47,96,56,59,59,59,47,52,47,56,59,56,59,47,56,52,59,52,56,52,47,96,47,52,52,52,96,52,59,47,52,59,47,52,96,52,52,56,59,47,52,56,56,56,56,47,56,47,96,52,47,52,56,56,47,47,59,47,56,52,56,47,96,52,47,56,47,47,96,47,47,47,52,47,47,47,56,56,52,56,56,56,47,47,47,56,96,52,56,47,52,47,47,59,52,47,56,52,47,96,52,59,47,47,96,47,52,56,47,47,52,56,56,47,96,52,56,47,56,52,96,96,96,47,59,47,96,52,59,56,59,47,47,59,52,52,59,47,52,56,52,52,56,56,56,59,52,47,96,47,52,56,56,59,56,47,56,59,52,52,52,47,96,52,59,96,96,52,47,96,96,47,47,59,59,47,96,47,56,47,56,52,56,47,96,59,47,59,52,56,47,52,52,47,59,56,47,59,59,56,56,47,56,52,56,47,52,47,47,56,59,96,56,56,47,59,47,56,96,47,59,59,47,47,47,56,52,56,47,59,52,52,47,59,59,56,52,47,47,59,59,47,47,96,47,59,59,56,47,56,52,56,56,56,47,47,59,59,47,56,56,47,56,47,47,56,47,96,56,96,52,96,59,59,56,47,56,52,47,47,47,59,47,47,47,47,59,47,59,52,56,47,47,56,47,47,47,52,47,52,56,59,96,59,56,47,59,47,47,52,56,47,59,47,52,96,52,56,56,96,56,96,47,59,56,52,52,96,47,59,47,47,56,47,47,47,47,52,59,52,59,47,47,52,52,96,59,59,96,59,52,47,52,56,56,59,47,52,59,59,52,59,59,47,59,59,56,56,47,56,47,52,47,56,56,59,47,59,59,96,59,47,59,47,59,56,59,56,59,52,47,59,59,52,56,47,59,56,47,52,59,96,47,47,52,52,47,47,47,56,59,59,47,52,59,47,96,47,47,59,47,47,56,47,59,59,52,47,56,47,47,47,47,47,52,47,59,52,59,96,47,47,47,52,52,59,52,59,59,56,56,59,59,59,56,52,59,56,47,59,47,56
6,52,56,96,59,52,96,52,47,59,47,52,56,56,47,59,96,47,52,59,96,59,47,52,96,56,56,47,52,56,59,59,59,47,59,59,56,47,52,47,96,56,59,59,59,52,52,52,56,59,56,47,59,59,52,59,52,56,52,59,96,47,52,52,52,96,52,59,59,59,59,52,52,96,52,47,56,59,47,96,56,56,56,56,52,56,59,96,52,52,52,56,56,52,59,59,56,56,52,56,52,96,59,47,56,52,47,59,47,47,47,47,52,47,47,56,56,47,56,56,56,47,47,56,56,96,47,56,47,52,59,47,59,59,47,56,47,96,96,52,52,47,47,96,52,52,56,59,59,52,56,56,52,96,52,56,47,56,52,96,47,59,47,47,52,96,52,59,56,59,96,96,59,52,52,59,52,47,56,52,52,56,56,56,59,52,52,96,52,52,56,56,52,56,52,56,59,47,52,47,47,96,52,52,96,96,52,47,96,59,47,47,59,52,47,96,59,56,52,56,47,56,47,96,47,96,59,52,96,47,96,47,47,52,56,47,59,47,56,56,47,56,52,56,47,52,47,47,56,52,96,56,56,47,52,47,96,47,47,47,59,47,47,47,56,47,56,47,59,47,52,47,47,59,56,47,47,47,47,52,47,47,47,47,52,96,56,52,56,47,56,56,56,47,47,47,47,47,56,47,52,56,47,47,56,47,96,56,96,52,96,59,52,56,52,56,52,47,47,47,59,47,47,47,47,59,96,52,52,56,47,47,56,52,47,47,52,47,52,56,59,52,59,56,47,59,47,47,59,56,47,47,47,52,47,52,56,56,52,56,52,47,59,56,52,52,52,52,52,52,96,56,47,47,52,47,47,59,52,59,47,52,52,47,96,52,47,96,59,52,52,52,56,56,52,47,52,59,47,52,47,52,47,59,52,56,56,47,52,47,52,59,56,56,52,47,59,47,47,59,47,47,52,47,56,47,56,59,52,47,52,59,52,56,52,56,56,47,52,59,96,47,52,52,47,47,52,47,56,52,59,47,52,52,52,52,47,47,52,52,52,56,52,59,52,47,47,56,47,47,96,47,52,52,47,52,52,52,96,96,47,47,52,52,47,52,56,52,56,56,52,52,59,56,52,59,56,52,59,52,56
7,52,56,96,59,52,96,96,96,47,96,47,56,56,59,47,47,59,52,59,96,59,59,96,52,56,56,47,52,56,52,52,59,47,59,52,56,47,52,52,96,56,47,52,59,52,52,52,56,59,56,52,59,59,52,59,52,96,52,47,59,47,52,52,52,96,52,59,52,52,47,52,52,96,52,52,56,59,52,52,56,56,56,56,52,59,52,52,52,96,52,56,56,52,52,52,59,52,52,56,47,52,52,52,56,52,47,59,47,52,52,52,52,47,47,56,56,52,56,56,59,47,47,52,56,59,52,56,47,52,59,47,59,59,52,56,52,96,96,52,52,52,47,96,52,52,56,59,59,52,56,56,52,96,59,56,47,56,52,52,52,52,47,47,52,52,52,52,56,59,96,47,59,52,52,52,52,52,56,52,52,56,56,56,59,52,52,96,47,52,56,56,52,56,52,56,59,52,52,52,52,56,52,52,52,96,52,59,96,59,47,47,59,52,59,96,47,56,52,56,52,56,47,96,59,59,59,52,52,52,52,52,47,59,52,47,59,56,56,56,52,56,52,56,52,52,52,47,56,96,96,56,56,47,47,47,96,96,47,47,52,47,52,47,56,52,56,47,59,52,52,52,59,59,56,52,47,52,47,52,47,52,52,52,59,52,56,52,56,52,56,56,56,52,47,52,47,52,56,56,96,56,52,47,56,52,96,56,96,52,96,59,52,56,52,56,52,47,52,52,59,52,47,52,47,59,47,52,52,56,47,52,56,52,47,52,52,52,52,56,47,47,59,56,52,59,96,52,59,56,47,59,47,52,52,52,56,56,52,56,52,47,52,56,52,52,52,52,47,52,52,56,47,52,47,47,52,47,52,96,47,52,52,52,96,52,59,96,52,52,52,52,56,56,52,47,52,59,52,52,52,52,47,59,52,56,56,47,56,59,59,96,56,56,59,96,59,47,52,59,52,59,52,56,56,47,56,59,52,47,59,59,52,56,52,56,56,52,52,59,96,52,52,52,52,47,52,47,56,47,56,59,52,47,52,52,47,47,52,52,52,56,47,59,59,47,52,56,96,47,59,47,52,52,47,47,52,52,96,52,47,47,47,52,96,52,52,59,56,56,52,59,59,56,52,59,56,52,59,52,56
8,52,56,96,59,52,47,52,52,59,52,52,56,56,59,52,52,47,52,47,96,59,59,47,52,56,56,56,52,56,52,52,59,47,52,59,56,47,47,52,96,56,59,47,59,47,47,47,56,59,56,47,52,56,52,59,52,56,47,59,96,47,52,52,47,96,47,59,96,52,59,47,52,96,52,47,56,59,52,56,47,56,56,56,47,56,59,96,96,56,52,56,56,52,47,59,56,56,52,56,47,96,52,47,56,59,47,47,47,52,47,59,52,47,47,56,56,52,56,56,56,47,47,47,56,96,47,56,47,52,59,47,59,56,47,56,52,96,96,59,47,47,47,96,47,52,56,59,59,52,56,56,47,56,59,56,47,56,52,96,52,47,52,52,47,52,52,59,56,56,96,47,59,52,52,59,59,59,56,59,52,56,56,56,59,52,47,96,96,52,56,56,52,56,59,56,59,52,52,52,47,96,52,59,96,96,59,47,96,52,52,52,59,59,47,96,59,56,52,56,47,56,47,96,52,59,59,52,52,52,52,47,47,59,56,47,59,59,56,56,52,56,52,56,47,52,52,47,56,96,96,56,56,47,47,47,96,47,47,47,59,52,47,47,56,47,56,47,59,52,52,52,47,59,56,52,47,47,59,52,47,47,96,52,47,47,56,47,56,52,56,56,56,52,47,47,52,47,56,59,52,56,47,47,56,52,96,56,96,52,96,59,52,56,52,56,52,47,59,52,59,47,47,52,47,59,47,47,52,56,47,47,56,52,47,52,52,47,47,56,59,52,59,56,59,59,52,47,59,56,47,59,47,52,96,52,56,56,52,56,59,47,52,56,52,52,52,52,59,47,52,56,47,47,47,47,47,59,52,59,47,59,59,47,52,52,52,96,47,52,52,52,56,56,59,47,52,59,52,52,52,52,47,59,52,56,56,47,59,52,52,47,56,56,59,52,59,52,52,59,52,59,52,47,56,59,56,59,59,47,52,59,52,56,59,59,56,47,52,59,96,52,52,52,47,47,52,52,56,59,59,47,52,52,52,56,47,47,59,47,52,56,59,59,52,47,47,56,47,47,47,47,47,52,47,59,52,52,96,47,47,47,52,52,59,52,56,47,56,56,59,52,59,56,52,59,56,47,59,59,56
9,52,56,96,59,52,47,47,59,59,59,47,56,56,59,59,96,59,52,59,96,59,59,59,52,96,56,47,52,56,52,52,59,47,59,59,56,47,52,47,96,56,59,47,47,52,47,52,96,96,56,59,47,52,52,59,52,96,47,47,47,47,47,52,52,59,52,59,47,52,59,52,52,96,47,52,56,59,59,47,56,56,56,56,52,56,52,59,47,59,52,56,56,59,52,59,59,56,52,56,47,96,47,47,56,59,47,56,47,52,47,59,59,47,47,56,56,47,56,56,56,47,47,47,56,96,47,56,47,52,59,47,59,56,47,56,52,96,96,52,59,47,47,96,47,96,56,59,59,59,56,56,47,96,59,56,47,56,47,96,47,59,47,47,47,96,52,59,56,96,96,47,59,52,52,59,47,59,56,52,52,56,56,56,59,96,47,96,59,52,56,56,47,56,96,56,59,96,52,52,47,96,52,52,96,96,52,47,96,96,96,47,59,52,47,96,47,56,47,56,52,56,47,96,47,96,59,52,47,59,96,47,47,59,56,47,59,47,56,56,47,96,52,56,52,52,96,47,56,47,96,56,56,47,52,47,96,47,47,47,59,52,47,47,56,52,56,47,59,52,52,47,52,59,56,52,47,47,47,52,47,52,47,52,59,47,56,59,56,52,56,56,56,52,47,47,47,52,56,96,47,56,96,47,56,52,96,56,47,52,96,59,52,56,47,56,52,47,52,96,59,47,47,52,47,59,47,52,47,56,47,47,56,52,47,47,96,47,59,56,59,59,59,56,47,59,47,59,96,56,47,47,47,52,96,52,56,56,96,56,52,47,59,56,52,96,96,47,96,47,96,56,47,47,96,47,52,59,52,96,47,59,96,47,96,59,59,96,96,52,59,52,56,56,96,47,52,59,47,96,52,96,47,59,52,56,56,52,56,47,52,59,56,56,47,52,59,96,96,59,47,59,52,47,56,47,56,59,96,47,59,59,52,56,96,47,56,47,52,59,59,52,59,59,47,47,47,47,56,96,96,47,52,47,59,56,47,47,96,52,47,96,96,59,59,96,47,56,47,47,59,47,47,52,47,59,96,59,96,96,47,47,52,52,47,52,56,59,56,56,47,59,59,56,52,59,56,47,59,59,56
